route_no,passenger_count,population,traffic_volume,headway_minutes,vulnerability_index,traffic_volume_scaled,passenger_count_scaled,headway_minutes_scaled,vulnerability_index_scaled,population_scaled,priority_score,rank,bus_no
CWB379000540,507892.6,194006,507892.6,41.120879120879124,0.16826283723183819,0.3179745879532118,0.3179745879532118,0.5556875556875557,0.5193608138595077,0.6717679743679522,0.42103514273218423,91,54
CWB379000600,524706.0,183765,524706.0,36.26373626373626,0.16845427584142791,0.3286435925524822,0.3286435925524822,0.49005049005049006,0.5203325083959968,0.6897867690916353,0.4162081812903506,92,60
CWB379003010,280324.98,83094,280324.98,63.30909090909091,0.1704455195320962,0.1735707205364486,0.1735707205364486,0.8555282555282556,0.530439563703112,0.8669149873933537,0.41498353853716685,93,301
CWB379000740,491281.5,194192,491281.5,40.795918367346935,0.16916762791464118,0.30743395356046915,0.30743395356046915,0.551296194153337,0.5239533052332699,0.6714407118136504,0.41425901267164095,94,74
CWB379003021,276939.0,83094,276939.0,63.32142857142857,0.1704455195320962,0.17142213451618873,0.17142213451618873,0.8556949806949806,0.530439563703112,0.8669149873933537,0.4137277319583559,95,302-1
CWB379003022,277649.0,83094,277649.0,63.169230769230765,0.1704455195320962,0.17187266761868328,0.17187266761868328,0.8536382536382536,0.530439563703112,0.8669149873933537,0.41358670640850725,96,302-2
CWB379003020,276449.5,83094,276449.5,63.239999999999995,0.1704455195320962,0.17111152049693368,0.17111152049693368,0.8545945945945945,0.530439563703112,0.8669149873933537,0.4133212863267257,97,302
CWB379000300,606378.48,367628,606378.48,49.33116883116883,0.09431000903086816,0.3804691641057561,0.3804691641057561,0.6666374166374166,0.14399474076277646,0.36628421521207843,0.41263687738842236,98,30
CWB379000700,621077.1,266154,621077.1,30.76288659793814,0.14694124454263321,0.38979622730433144,0.38979622730433144,0.41571468375592086,0.4111377382231676,0.5448252928208097,0.4126169762381807,99,70
CWB379000320,583156.48,329787,583156.48,48.16546762589928,0.09826645683425969,0.36573355888585674,0.36573355888585674,0.6508846976472876,0.16407668098736666,0.4328645502515171,0.40931119798486,100,32
CWB379002510,475866.34,200299,475866.34,40.48913043478261,0.16960643837462994,0.297652207278427,0.297652207278427,0.5471504112808461,0.5261805974573365,0.6606955912807403,0.4067090254970331,101,251
CWB379000340,616622.98,323320,616622.98,41.686868686868685,0.09457503402202153,0.38696984913182014,0.38696984913182014,0.5633360633360633,0.14533994138081627,0.44424308217985015,0.4038074245023714,102,34
CWB379000350,616622.98,323320,616622.98,41.686868686868685,0.09457503402202153,0.38696984913182014,0.38696984913182014,0.5633360633360633,0.14533994138081627,0.44424308217985015,0.4038074245023714,103,35
CWB379000751,20799.5,17733,20799.5,73.7764705882353,0.2629560706028309,0.008887875915619693,0.008887875915619693,0.9969793322734499,1.0,0.9819161046606762,0.4029202024701294,104,75-1
CWB379000530,526965.6,235922,526965.6,36.01162790697674,0.15783182577292496,0.3300774300150127,0.3300774300150127,0.48664362036455056,0.46641560669151594,0.598017774227546,0.40181852017382397,105,53
CWB379000771,17770.0,17733,17770.0,73.57534246575342,0.2629560706028309,0.0069654955860320115,0.0069654955860320115,0.9942613846723436,1.0,0.9819161046606762,0.40122318475215557,106,77-1
CWB379000759,18788.0,17733,18788.0,73.14285714285714,0.2629560706028309,0.007611471217496035,0.007611471217496035,0.9884169884169883,1.0,0.9819161046606762,0.40044189087996296,107,75-2
CWB379000731,32391.0,17733,32391.0,70.28571428571429,0.2629560706028309,0.016243304729092415,0.016243304729092415,0.9498069498069499,1.0,0.9819161046606762,0.3978989832649131,108,73-1
CWB379000490,505411.56,326993,505411.56,44.11797752808989,0.15196961402843487,0.31640023492699626,0.31640023492699626,0.5961888855147283,0.4366604850048795,0.43778052647043814,0.3965220192066752,109,49
CWB379000780,487689.5,191194,487689.5,34.226190476190474,0.16633890184838437,0.30515463679404603,0.30515463679404603,0.46251608751608747,0.5095953986976108,0.6767156211566444,0.3942271015650706,110,78
CWB379003090,191570.5,66757,191570.5,64.29787234042553,0.18041553694743623,0.11725123992420788,0.11725123992420788,0.8688901667625071,0.5810448803210521,0.8956595484128645,0.3917992201804178,111,309
CWB379009900,137817.0,31962,137817.0,61.64285714285714,0.1996120392966648,0.08314175946654444,0.08314175946654444,0.833011583011583,0.678481528510358,0.9568805192565861,0.3800235770589377,112,990
CWB379002720,460560.54,94422,460560.54,24.977272727272727,0.17076528775073604,0.2879398557852422,0.2879398557852422,0.33753071253071254,0.5320626272620308,0.8469836421507132,0.37817468291856227,113,272
CWB379000721,35439.5,14190,35439.5,67.2063492063492,0.22762508809020437,0.018177741578324316,0.018177741578324316,0.9081939081939081,0.8206687629528692,0.9881499284772965,0.3734272957287928,114,72-1
