위도,경도,정류장ID,정류장명,정류장번호
35.12620878,128.4505434,CWB379003080,함박골,315004
35.12448052,128.4433059,CWB379003081,들담,315005
35.12443606,128.4432719,CWB379003082,들담,315006
35.10663543,128.4961289,CWB379003085,광암마을,321924
35.10637652,128.4962032,CWB379003086,광암마을,321925
35.11090243,128.5442753,CWB379003088,드라마세트장,321926
35.11082945,128.5441754,CWB379003089,드라마세트장,321927
35.34515454,128.74930355,CWB379003090,유등종점,123001
35.17096732,128.5416989,CWB379003094,예곡,323001
35.17048238,128.5411393,CWB379003095,예곡,323002
35.17688353,128.53697253,CWB379003096,두릉마을,323003
35.17679152,128.53641099,CWB379003097,두릉마을,323004
35.21011466,128.50939907,CWB379003098,감천교,301301
35.20999323,128.50938035,CWB379003099,감천교,301302
35.21761222,128.5034909,CWB379003100,광려중학교,301303
35.21527711,128.50519249,CWB379003101,전안마을,301304
35.29932868,128.6697941,CWB379003102,주남삼거리,104649
35.29943849,128.6698328,CWB379003103,주남삼거리,104650
35.33230974,128.7075872,CWB379003104,삼봉마을,116401
35.33240453,128.7076453,CWB379003105,삼봉마을,116402
35.34600761,128.727419,CWB379003106,동부마을,123002
35.34611053,128.7274604,CWB379003107,동부마을,123003
35.33863166,128.7259923,CWB379003108,우암마을,123004
35.33886435,128.7257555,CWB379003109,우암마을,123005
35.33611285,128.7264512,CWB379003110,덕현마을,123006
35.33587367,128.7265458,CWB379003111,덕현마을,123007
35.36764786,128.6914823,CWB379003112,당리,103718
35.3026771,128.67292,CWB379003113,가월윗담,116403
35.30256926,128.672971,CWB379003114,가월윗담,116404
35.27884494,128.6842173,CWB379003115,덕천마을,104651
35.35754741,128.7129139,CWB379003116,북모산마을,123008
35.36715568,128.69984547,CWB379003117,제1수산교,123009
35.36643926,128.6804893,CWB379003118,갈전운동장,100707
35.36609035,128.6778344,CWB379003119,상리,100708
35.35844965,128.5878745,CWB379003121,어유골,111901
35.35835988,128.5876874,CWB379003122,어유골,111902
35.36107065,128.5747633,CWB379003123,삼원효도마을,111903
35.36091805,128.5748677,CWB379003124,삼원효도마을,111904
35.29515177,128.5957601,CWB379003125,북면새터,112301
35.29831782,128.59377713,CWB379003126,중방마을,112302
