statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812131000,경상남도,창원시 의창구,북면,8,3,1502,748,754,71,155,54,77,166,110,84,25,6,0,0,68,152,33,85,181,121,79,26,7,2,0
202604,4812131000,경상남도,창원시 의창구,북면,8,4,1732,860,872,105,178,50,95,198,117,79,35,3,0,0,110,174,39,113,212,111,86,24,3,0,0
202604,4812131000,경상남도,창원시 의창구,북면,8,5,1962,978,984,99,171,67,108,216,142,115,52,8,0,0,101,162,54,128,236,124,123,46,9,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,6,1134,573,561,56,97,39,66,107,93,85,27,3,0,0,45,78,35,67,123,97,80,33,2,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,7,1115,562,553,61,90,35,68,107,92,78,28,3,0,0,49,85,34,60,123,92,81,22,3,4,0
202604,4812131000,경상남도,창원시 의창구,북면,8,8,1805,927,878,108,155,69,112,203,108,137,30,5,0,0,72,154,49,114,206,118,136,22,6,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,9,901,415,486,9,30,25,31,54,61,110,67,26,2,0,10,39,16,24,57,81,129,83,44,3,0
202604,4812131000,경상남도,창원시 의창구,북면,8,10,1636,828,808,134,130,50,127,230,87,49,19,2,0,0,96,138,49,150,213,94,44,18,5,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,11,1441,736,705,70,112,51,95,137,121,118,25,7,0,0,57,103,38,90,143,135,102,25,8,4,0
202604,4812131000,경상남도,창원시 의창구,북면,8,12,1375,690,685,88,82,47,134,160,84,68,27,0,0,0,82,73,49,130,149,95,76,27,2,2,0
202604,4812131000,경상남도,창원시 의창구,북면,8,13,1396,707,689,85,82,43,116,167,94,89,28,3,0,0,83,82,37,126,145,100,92,16,5,3,0
202604,4812131000,경상남도,창원시 의창구,북면,8,14,1130,557,573,94,74,37,98,140,59,39,13,2,1,0,72,101,33,104,137,57,46,19,4,0,0
202604,4812131000,경상남도,창원시 의창구,북면,8,15,1129,571,558,100,79,23,102,145,48,55,19,0,0,0,86,74,31,110,132,59,52,12,1,1,0
