정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
NWB315000105,신원,35.509033,127.533595,2025-10-31,53023,35050,전라북도 남원시,남원BIS
NWB315000106,신원,35.509007,127.533716,2025-10-31,53024,35050,전라북도 남원시,남원BIS
NWB315000107,하노단,35.521912,127.535327,2025-10-31,53025,35050,전라북도 남원시,남원BIS
NWB315000108,하노단,35.521824,127.535383,2025-10-31,53026,35050,전라북도 남원시,남원BIS
NWB315000109,번암면행정복지센터,35.531399,127.543674,2025-10-31,53027,35050,전라북도 남원시,남원BIS
NWB315000110,번암면행정복지센터,35.531533,127.543893,2025-10-31,53028,35050,전라북도 남원시,남원BIS
NWB315000111,번암정류소,35.532288,127.54412,2025-10-31,53029,35050,전라북도 남원시,남원BIS
NWB315000112,번암정류소,35.53232,127.544216,2025-10-31,53030,35050,전라북도 남원시,남원BIS
NWB315000113,만항,35.498296,127.536885,2025-10-31,53031,35050,전라북도 남원시,남원BIS
NWB315000114,만항,35.498234,127.536847,2025-10-31,53032,35050,전라북도 남원시,남원BIS
NWB315000115,성암,35.514746,127.567862,2025-10-31,53033,35050,전라북도 남원시,남원BIS
NWB315000116,구선동,35.483615,127.537311,2025-10-31,53034,35050,전라북도 남원시,남원BIS
NWB315000117,구선동,35.483603,127.537412,2025-10-31,53035,35050,전라북도 남원시,남원BIS
NWB315000118,죽산,35.540746,127.518101,2025-10-31,53036,35050,전라북도 남원시,남원BIS
NWB315000119,죽산,35.540822,127.518158,2025-10-31,53037,35050,전라북도 남원시,남원BIS
NWB315000120,죽산,35.540921,127.517906,2025-10-31,53038,35050,전라북도 남원시,남원BIS
NWB315000121,대성방,35.544544,127.500462,2025-10-31,53039,35050,전라북도 남원시,남원BIS
NWB315000122,대성방,35.544557,127.500581,2025-10-31,53040,35050,전라북도 남원시,남원BIS
NWB315000123,하북,35.54962,127.4952,2025-10-31,53041,35050,전라북도 남원시,남원BIS
NWB315000124,하북,35.549572,127.495327,2025-10-31,53042,35050,전라북도 남원시,남원BIS
NWB315000125,상북,35.549666,127.488183,2025-10-31,53043,35050,전라북도 남원시,남원BIS
NWB315000126,상북,35.549589,127.488176,2025-10-31,53044,35050,전라북도 남원시,남원BIS
NWB315000127,도장,35.556043,127.479016,2025-10-31,53045,35050,전라북도 남원시,남원BIS
NWB315000128,원북,35.553224,127.493185,2025-10-31,53046,35050,전라북도 남원시,남원BIS
NWB315000129,원북,35.553258,127.493276,2025-10-31,53047,35050,전라북도 남원시,남원BIS
NWB315000130,금천,35.558192,127.492338,2025-10-31,53048,35050,전라북도 남원시,남원BIS
NWB315000131,금천,35.558441,127.492563,2025-10-31,53049,35050,전라북도 남원시,남원BIS
NWB315000132,하교,35.576478,127.498089,2025-10-31,53050,35050,전라북도 남원시,남원BIS
NWB315000133,하교,35.576712,127.498192,2025-10-31,53051,35050,전라북도 남원시,남원BIS
NWB315000134,상임신,35.563361,127.524615,2025-10-31,53052,35050,전라북도 남원시,남원BIS
NWB315000135,상임신,35.563313,127.524696,2025-10-31,53053,35050,전라북도 남원시,남원BIS
NWB315000136,원사암,35.575188,127.528973,2025-10-31,53054,35050,전라북도 남원시,남원BIS
NWB315000137,원사암,35.575142,127.529037,2025-10-31,53055,35050,전라북도 남원시,남원BIS
NWB315000138,방화동,35.586415,127.530229,2025-10-31,53056,35050,전라북도 남원시,남원BIS
NWB315000139,시동강,35.53415,127.545878,2025-10-31,53057,35050,전라북도 남원시,남원BIS
NWB315000140,시동강,35.534102,127.545964,2025-10-31,53058,35050,전라북도 남원시,남원BIS
NWB315000141,동화,35.538273,127.546014,2025-10-31,53059,35050,전라북도 남원시,남원BIS
NWB315000142,동화,35.538241,127.546113,2025-10-31,53060,35050,전라북도 남원시,남원BIS
NWB315000143,하동,35.563921,127.552476,2025-10-31,53061,35050,전라북도 남원시,남원BIS
NWB315000144,하동,35.563808,127.552537,2025-10-31,53062,35050,전라북도 남원시,남원BIS
NWB315000145,상동,35.568733,127.557082,2025-10-31,53063,35050,전라북도 남원시,남원BIS
NWB315000146,상동,35.56869,127.557167,2025-10-31,53064,35050,전라북도 남원시,남원BIS
NWB315000147,원지지마을,35.578893,127.572502,2025-10-31,53065,35050,전라북도 남원시,남원BIS
NWB315000148,원지지마을,35.578818,127.572075,2025-10-31,53066,35050,전라북도 남원시,남원BIS
NWB315000149,광대,35.58603,127.585923,2025-10-31,53067,35050,전라북도 남원시,남원BIS
NWB315000150,광대,35.585968,127.585997,2025-10-31,53068,35050,전라북도 남원시,남원BIS
NWB315000151,사치,35.475854,127.552798,2025-10-31,53069,35050,전라북도 남원시,남원BIS
NWB315000152,삼거,35.613953,127.610459,2025-10-31,53070,35050,전라북도 남원시,남원BIS
NWB315000153,장수온천호텔,35.537937,127.524518,2025-10-31,53073,35050,전라북도 남원시,남원BIS
NWB315000154,장수온천호텔,35.53805,127.524458,2025-10-31,53074,35050,전라북도 남원시,남원BIS
NWB315000201,수분,35.588285,127.503917,2025-10-31,53071,35050,전라북도 남원시,남원BIS
NWB315000202,수분,35.588223,127.504048,2025-10-31,53072,35050,전라북도 남원시,남원BIS
NWB316000001,오수공용버스정류장,35.539622,127.3266,2025-10-31,52001,35050,전라북도 남원시,남원BIS
NWB316000002,오수,35.539536,127.328839,2025-10-31,52002,35050,전라북도 남원시,남원BIS
NWB316000003,오수,35.539613,127.328963,2025-10-31,52003,35050,전라북도 남원시,남원BIS
NWB316000004,오수,35.537695,127.328983,2025-10-31,52004,35050,전라북도 남원시,남원BIS
NWB316000005,오수,35.537778,127.329041,2025-10-31,52005,35050,전라북도 남원시,남원BIS
NWB316000006,남악,35.548202,127.331517,2025-10-31,52006,35050,전라북도 남원시,남원BIS
NWB316000007,남악,35.548141,127.331608,2025-10-31,52007,35050,전라북도 남원시,남원BIS
NWB316000008,대정,35.511128,127.337387,2025-10-31,52008,35050,전라북도 남원시,남원BIS
NWB316000009,대정,35.511153,127.337296,2025-10-31,52009,35050,전라북도 남원시,남원BIS
NWB316000010,둔기,35.505536,127.331456,2025-10-31,52010,35050,전라북도 남원시,남원BIS
NWB316000011,둔기,35.505493,127.331513,2025-10-31,52011,35050,전라북도 남원시,남원BIS
CNB295000985,합전리,36.04892,126.66552,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000992,칠전,36.05325,126.66391,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000991,서천종합운동장,36.05832,126.6605,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000081,마동,36.07282,126.65261,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000384,장구2리.원장구,36.09131,126.64923,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000379,장구사거리,36.09348,126.6503,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000968,송림1리마을회관,36.02423,126.68418,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000986,솔리.옥남사거리,36.03382,126.67177,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000996,옥남리,36.03633,126.66983,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000994,합전.백사마을,36.04238,126.6651,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000989,칠전입구,36.051,126.66582,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000078,옥산1리회관,36.06657,126.65577,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000080,옥산,36.06957,126.65343,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000088,한성리.벌촌,36.08023,126.64783,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000388,장구2리,36.08623,126.64532,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000382,장구리.개명,36.09782,126.65243,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000835,창외.고마,36.05155,126.76098,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000938,내동입구,36.06042,126.7475,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000937,내남리,36.06248,126.7441,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000933,외남리,36.06378,126.74187,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000823,춘부입구.신기,36.046,126.76988,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000833,신기리,36.047466,126.767586,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000941,금당리,36.05692,126.75293,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000927,두북리,36.06775,126.74103,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000929,두북리입구,36.06977,126.74233,2025-10-31,,34340,충청남도 서천군,충남광역BIS
CNB295000748,서천터미널,36.07483,126.6962,2025-10-31,,34340,충청남도 서천군,충남광역BIS
SJB293053006,"새롬동,나성동(청소년센터)",36.486879,127.25796,2025-10-31,51008,12,세종특별자치시,세종BIS
SJB293053007,첫마을1단지,36.483814,127.259085,2025-10-31,51034,12,세종특별자치시,세종BIS
SJB293053008,한솔동(첫마을),36.481128,127.261558,2025-10-31,51036,12,세종특별자치시,세종BIS
